,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,id,price,beds,baths,parking,title,address,propertyType,status,bond,Coordinates,Latitude,Longitude
13,13,331,331,331,331,331,331,331,331,331,331,331,331,331,332,15416058,400.0,4,2,2,$400,"4 Coolbinia Avenue, Werribee VIC 3030",House,recentlyUpdated,1738.0,Just do it by hand,J,u
14,14,402,402,402,402,402,402,402,402,402,402,402,402,402,403,14457416,420.0,3,2,2,"$420 pw / $1,825 pcm","10 Windeatt Court, Mill Park VIC 3082",House,recentlyUpdated,1825.0,Just do it by hand,J,u
15,15,403,403,403,403,403,403,403,403,403,403,403,403,403,404,16088507,500.0,4,2,2,$500 per week,"34 Ironstone Crescent, Clyde VIC 3978",House,new,2173.0,Just do it by hand,J,u
16,16,441,441,441,441,441,441,441,441,441,441,441,441,441,442,16088408,540.0,4,2,2,$540 pw,"11 Marsh Mays Road, Cairnlea VIC 3023",House,new,2346.0,Just do it by hand,J,u
17,17,452,452,452,452,452,452,452,452,452,452,452,452,452,453,14682810,315.0,2,1,1,$315 per week,"3/11 Fishburn Grove, Melton West VIC 3337",Apartment / Unit / Flat,recentlyUpdated,1369.0,"('-37.6689924', '144.5544526')",-37.6689924,144.5544526
18,18,531,531,531,531,531,531,531,531,531,531,531,531,531,534,16088114,530.0,4,2,2,$530 per week,"66 Holst Street, Armstrong Creek VIC 3217",House,new,2303.0,Just do it by hand,J,u
19,19,557,557,557,557,557,557,557,557,557,557,557,557,557,560,16088033,525.0,2,1,1,$525 pw,"4/2A Simspon Street, Yarraville VIC 3013",Townhouse,new,2282.0,"('-36.1460743', '146.9139168')",-36.1460743,146.9139168
20,20,564,564,564,564,564,564,564,564,564,564,564,564,564,567,16088022,370.0,3,2,2,$370,"369 McGrath Road Service Road, Wyndham Vale VIC 3024",House,new,1607.0,Just do it by hand,J,u
21,21,609,609,609,609,609,609,609,609,609,609,609,609,609,612,16087834,650.0,2,1,0,$650.00 Per Week,"89 Beaves Road, Northcote VIC 3070",House,new,2824.0,Just do it by hand,J,u
22,22,610,610,610,610,610,610,610,610,610,610,610,610,610,613,16087833,650.0,2,1,0,$650.00 Per Week,"89 Beaves Road, Northcote VIC 3070",House,new,2824.0,Just do it by hand,J,u
23,23,653,653,653,653,653,653,653,653,653,653,653,653,653,656,16087698,700.0,4,2,2,$700 Per Week,"19 Strathfield Place, Croydon VIC 3136",House,new,3042.0,Just do it by hand,J,u
24,24,683,683,683,683,683,683,683,683,683,683,683,683,683,686,16087591,400.0,3,2,2,$400,"3 Sapa Close, Truganina VIC 3029",House,new,1738.0,Just do it by hand,J,u
25,25,787,787,787,787,787,787,787,787,787,787,787,787,787,790,16087259,375.0,3,1,1,$375,"3 Midway Cresent, Lalor VIC 3075",House,new,1625.0,Just do it by hand,J,u
26,26,935,935,935,935,935,935,935,935,935,935,935,935,935,938,16086713,470.0,4,2,2,$470,"11 Coolbinia Avenue, Werribee VIC 3030",House,new,2042.0,Just do it by hand,J,u
27,27,940,940,940,940,940,940,940,940,940,940,940,940,940,943,16086699,450.0,4,2,2,$450.00 per week,"55 Presentation Boulevard, Delacombe VIC 3356",House,new,1950.0,"('-37.5714014', '143.7907659')",-37.5714014,143.7907659
28,28,962,962,962,962,962,962,962,962,962,962,962,962,962,965,16086632,420.0,4,2,2,$420 pw,"16 Verdale Drive, Alfredton VIC 3350",House,new,1680.0,"('-37.8287372', '145.2075599')",-37.8287372,145.2075599
29,29,965,965,965,965,965,965,965,965,965,965,965,965,965,968,16086628,400.0,3,2,2,$400 weekly,"3 Dublin Street, Alfredton VIC 3350",House,new,1733.0,"('-37.6886948', '145.0837361')",-37.6886948,145.0837361
30,30,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1027,16086431,700.0,2,1,0,$700 per week,"27 Duke Street, Prahran VIC 3181",House,new,3042.0,"('-37.0696848', '144.22552396666669')",-37.0696848,144.22552396666669
31,31,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1065,1068,15993305,375.0,2,1,2,$375 weekly,"Rear 1 Melissa St, Strathmore VIC 3041",Townhouse,recentlyUpdated,1625.0,Just do it by hand,J,u
32,32,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1082,16086266,500.0,4,2,2,$500 per week,"3 Crowea Place, Lara VIC 3212",House,new,2173.0,Just do it by hand,J,u
33,33,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1081,1084,16086262,500.0,4,2,2,$500 per week,"322 Ohallorans Road, Lara VIC 3212",House,new,2173.0,"('-37.0809942', '144.2743224')",-37.0809942,144.2743224
