Suburb,Local Government Area,Year ending,Alleged Offender Incident Rate,Alleged Offender Incidents,Criminial Incident Rate,Family Incident Count,Family Incident Rate,Incidents Recorded,Offence Count,Offence Rate,Victim Reports,Victimisation Rate
Gainsborough,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Gentle Annie,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Hallora,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Hill End,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Icy Creek,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Jacob Creek,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Jericho,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Jindivick,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Labertouche,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Lardner,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Lillico,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Loch Valley,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Longwarry,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Longwarry North,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Modella,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Moondarra,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Mountain View,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Narracan,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Nayook,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Neerim,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Neerim East,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Neerim Junction,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Neerim North,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Neerim South,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Nilma,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Nilma North,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Noojee,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Piedmont,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Rawson,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Ripplebrook,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Rokeby,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Seaview,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Shady Creek,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Tanjil,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Tanjil Bren,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Tanjil South,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Tetoora Road,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Thalloo,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Thorpdale,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Thorpdale South,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Toombon,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Toongabbie,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Toorongo,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Torwood,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Trafalgar,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Trafalgar East,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
Trafalgar South,BAW BAW,March,"2,478.80","1,131","4,644.20",,,"2,119","2,809","6,156.40","1,213","2,658.50"
